text,papers
السلام عليكم انا عندي مشكلة مع جراني هما هدمو البيت و بنو و كان متحددلهم في الرخصة متر و ربع هما سابو 90سم من نحية و متر و ربع من نحية و النحية اللي سابو فيها 90 سم عامل بلكونة و عايز يعمل مناشر ممكن حد يفدني اعمل اية و اتصرف ازي,يجب الاهتمام بالأمر بعناية وتحديد الخطوات التي يجب اتخاذها بعناية حتى تساعدك على حماية حقوقك القانونية.
سؤال اتمني السادة المحامين الافاضل يجوبني باجابة اكيدة اكن شاكر لهمدعوي اسرة صدر بها حكم نهائي بالرفض في قائمة منقولات مزورة بالرد و البببطلان في تاريخ 10-12-2019  و منطوق حكم الاستئناف ان المحكمة لم تطمئن لشهادة الشهود المدعي بخلاف كمان تقرير الطب الشرعي و تحصلت علي ادلة جديد من شهر واحد فقط  تثبت الشهادة الزورهل لازال الفترة الزمنية للمدعي علية متاحة تحريك دعوي شهادة زور ضد شهود المدعي ؟و لو الفترة تسمح محتاج محامي من اسكندرية يرفعهالي,"ثالثاً، يجب تنسيق مع المحامي حول الأوراق والمستندات اللازمة لتقديم دعوى الشهادة الزور ضد شهود المدعي، والتأكد من استيفاء جميع المتطلبات الضرورية."
واحده اعرفها ابوها اتوفي وسابلهم فلوس 80 الف وخالتها اتوفت  وسابتلهم فلوس 50 الف وكذلك جدهم سابلهم من 15 سنه فلوس 200 الف  وعشان الجد صعيدي مرضاش يمسك الأم فلوس قال فلوس البنات تتحط ف البنك وخالهم يكون واصي عليهم وكل واحده لما تيجي تتجوز تاخد حقها لما الجد اتوفي البنات طالبو بحقهم وكلمو خالهم فالتلفون وسجلوله انهم بيقولو فين حقنا وكدا وهو جاوب أن موجودين ويجو ياخدوها بعديها راحو قالهم ملكمش حاجه وطلع محطش فلوس اخدهم ف جيبو وتبقو تاخدو ملاليم 50 الف لجوازكو انتو الاتنين لما تتجوزو وبعدها قال اديني رقم البنك عشان يحول والشات موجود برقم البنك أنه متحولوش حاجه بعد.كدا قال مش هديكو حاجه يعني قال ملاليم بعد كدا قال ملكمش حاجه رفض خالص  والعيله كلموه قلهم اه ليهم حق ومش.هديهم والي عندهم يعملوه وبردو في تسجيلات لكدا أنه قال للعيله ليهم حق والعيله مش راضيه تشهد بالحق عشان صعايده بيقولو منفضحش بعض دلوقتي ايه الحل التسجيلات هتفيد وهيقدرو يثبتو أن ليهم حق برقم الحساب الي متحولوش حاجه وبالتسجيلات ولا ملهاش حل؟,"يجب الحرص على التعامل مع هذه القضايا مع محامٍ محترف، حيث يمكن للمحامي تقديم المشورة القانونية اللازمة وتقديم النصح لمساعدة البنات في استرداد حقوقهن المالية."
"السلام عليكم .انا والدي متوفي و كان قد وقع على عقد ايجار بيت، و لم يسدد مبالغ الايجار ،و غادرنا البيت  .و الان صاحب البيت يريد يشتكي عليي انا ، هل يحق له هذا قانونيا ام لا ؟",ومن الممكن أن تتبع الخطوات التالية: 1- إجراء تحقيقات حول ملكية العقار وحيازتها على الأراضي للتأكد من صحة ملكية صاحب العقار.
عايز افتح مكتب لتوريد العماله اليوميه للمصانع اي الاوراق المطلوبه ياريت حد يفيدني,"باختصار، يحتاج فتح مكتب لتوريد العمالة اليومية للمصانع إلى إعداد مستندات قانونية للنشاط التجاري، وتوظيف العمالة المناسبة، والحصول على تقارير المبيعات والدخل لتسديد الضرائب والتقدم بطلبات التمويل."
سلام الله عليكم دعوى طرد احيلت للخبراء منذ ٨ أشهر والى الان لم يقم الخبير بالمعاينه هل هنالك من حلول دمتم بخير,وفيما يلي بعض الإجراءات التي يمكن اتباعها: 1- التواصل مع محامٍ للمساعدة في رفع دعوى قضائية ضد الخبير للمطالبة بسرعة التنفيذ وتحريك الملف.
ممكن استفسار  انا عندي محل اجار واحد وخده سنتين اجار كل شهر 300 وبعد سنه عاوز يخرج من المحل ودافع 500 تامين للمحل وعاوز الفلوس هو حقه ولا لا,"إذا كانت هناك اتفاقية شروط وأحكام بينكما بشأن المدة والمبلغ المستحق والتأمين، فيجب الرجوع إليها لمعرفة حقوق كل طرف."
"محتاج راي اهل الخبره ,من شهر ٥ عرضت رخصة صيدليه بتجهيزاتها للبيع ,وتم الاتفاق ومن حسن نيتي اعطيت المشتري مفتاح الصيدليه ليتسفاد بها واخذت نص المبلغ المتفق عليه والنص الاخر يتم تسليمه ليا في نهاية السنه وكتب ورقه بيضاء بهذا الاتفاق باني استلمت مبلغ كذا مقابل التنازل عن الرخصه والتجهيزات وباقي لي مبلغ كذا يتم تسليمهم لي في ١٥/١٢/٢٠٢٢ واعطيتها للمشتري ,والان المشتري رافض اكمال البيع بعد ٨ شهور من تسليمي ليه المكان وهو المستفاد منه ,ما الاجراءات الصحيحه ,مع العلم اني لم اتنازل حتي الان عن الرخصه عقد الايجار مازل باسمي واريد اكمال البيعه ولكن المشتري رافض  ,وان المقدم الذي حصلت عليه من شهر ٥ تم تسديده في قرض ,ما الحل",- يجب التواصل مع محامي المشتري لدراسة وتفسير الصكوك القانونية التي أُعطيَت للمشتري والتي تحدد الحقوق والالتزامات القانونية لكل طرف.
السلام عليكم اناعندى محل تجارى والجهازرافض الورش وانااجرت المحل لشخص يبيع فيه قطع غيار ومواتير ولكن الجهازاخذ عليه تعهد بعدم شغل المحل ورشه السؤال اذاالمحل اشتغل ورشه هيكون ايه الموقف القانونى ليه لأن التعهد مكتوب فيه انهم يسحبوالمحل افيدونى أكرمكم الله,"لذا، ننصح بعدم انتهاك التعهد الذي وقعته وإما الالتزام بتأجير المحل لغير التجارة المحددة بالتعهد أو مراجعة الجهاز لتغيير شروط التعهد."
السلام عليكم الاخ ديالي دوز 24h فالحراسة النظرية بسبب احتجاز المخدر للاستهلاك و دابا خفنا حيت قالو عندو السورسي سؤالي هو واش هادشي كيطلع فشهادة حسن السيرة والسلوك و السجل العدلي؟سؤال ثاني هو بغا يدير محامي قبل الجلسة لي عطاوه وطلب ليه 5000 درهم و اش هادشي يستاهل نديرو عليه محامي او مكاين والو ومغادي يطلع والو,من الأفضل التحدث مع عدة محاميين في المنطقة الخاصة بك للحصول على توصية أو اقتراح بشأن المحامي الذي يمكن الاعتماد عليه بشأن هذه القضية.
لو عندى محل مرخص تجارى  و عايز ااجره ا/ هل الرخصه ممكن تسقط لو معملتش بطاقه ضريبيه او سجل تجارى ؟2/ لو عملت بطاقه و سجل هل بياخدو نسبه من الايجار ؟ فى حدود كام ؟,"إذا كنت تمتلك رخصة تجارية صالحة وتستوفي جميع متطلبات البلدية والحكومة المحلية ، فيجب أن تشترط على المستأجرين الالتزام بجميع اللوائح والشروط المرتبطة بالعقار."
الشفعه:هي رخصه تجيز ف حال بيع عقار ان يحل شخص اخر غير المشتري محل المشتري بشروط قانونيه. وهي رخصة تقف علي شخص من تتوافر به الشروط.يقصدبالشخص/الطبيعي  او المعنوي كالشركه مثلا. وهي رخصه لا تتجزأ  اي تستخدم لأخذ العقار الشفوع فيه بالكامل وليس جزء فقط.   لمن؟؟ 1/مالك الرقبه.. حال بيع حق الإنتفاع الملابس للعقار. 2/الشريك ع المشاع اذا تم البيع لاجنبي عن الشركاء. 3/لصاحب حق الانتفاع لو بيعت الرقبه الملابسه له. 4/لمالك الرقبه ف الحكر. 5/للجار المالك فيما هو آت/أ/اذا كانت العقارات من المباني او من الارض المعده للبناء. ب/اذا كان للارض المبنيه حق ارتفاق لارض الجار علي الارض المبيعه. ج/اذا كانت ارض الجار ملاصقه للارض المبيعه من جهتين وتساوي قيمتها نصف ثمن الارض المبيعه ع الاقل.*****الاساس القانوني/ م/935 مدنى مصر,من المهم التأكد من توافر الشروط القانونية المذكورة في النص المشار إليه لاعتماد الشفعة كطريقة لتحقيق الأهداف المذكورة.
لو سمحت انا  بشتري حاجه اون لاين والتاجر طلب مني تحولت مبلغ فودافون كاش وبعد مابعتله الفلوس عمل حظر وقفل الفون عايز اعمل محضر فيه  للعلم مش معايا غير ارقام فإنه ورابط صفحته  وقالي أن مكانه ف مدينه العالمين عند البنك الاهلي,"ستحتاج أيضاً للحضور إلى فرع البنك الأهلي المصري حيث تم إرسال الأموال إليه، وطلب تزويدك بنسخة من بيان الحساب الذي تم إيداع الأموال فيه."
سلام عليكم والله العظيم انا راجل ملتزم في شغلي عندي عربيه فول كل شويه الحي ياجي يكسرها ودفع رشاوي ورجع اشتغل وعايش على هذه الحال ما العمل ونا متعلم اصلن ومحترم ومش وش كده ونا مشهور بتاع فول في القاهره و الحل  اي انا مستحرم بروضو عوز اشتغل بلحلال بدون رشاوي وميخدوش العربيه مني ورجع اشتغل وشتري عربيه يعني عوز اعمل ترخيص للعربيه الفول ونا شاب بكون  نفسي وبعمل مستقبلي بايدي  في والحل اي اشوف محامي ول اعمل ايه والله انا في حيره شديده يريت اي اتجاه أمشي بيه وشكرا لجميع,"قم بتسجيل الحوادث التي تعرضت لها على الطريق، وحاول جمع البيانات كمعرفة أسماء وأرقام الهواتف للشهود وتواريخ وأرقام اللوحات المركبات المشاركة في تلك الحوادث."
السلام   من يجيبني   سمعت مؤخرا   من فتاة  تمتهن الدعارة في مكان  معزول عن العامة    وقالت لي أن  شرطيا   انهال عليها بالحجارة  ولم  يقم   باعتقالها  فالمرجو الإجابة   هل  ما فعله   قانوني,"وفي حالة وقوع هذا الحدث، فمن المهم تقديم شكوى رسمية إلى السلطات القضائية لمعالجة الموقف واتخاذ الإجراءات اللازمة ضد الشرطي."
حكم النقض في القضايا العمالية اللى بيجى بعد الاستئناف ممكن يلغي حكم الاستئناف لو اتنفذ ويترد على الشخص بالفرق لو جه اقل تعويضا من حكم الاستئناف,"وإذا كان الفرق بين تعويض الحكم النقض والحكم الاستئناف يتجاوز الحد الأدنى للتعويض الذي حدده القانون، فسيتم تعويض الفرق في صالح الشخص المتضرر."
مرحبا عندي استشاره شخص مطلوب فلوس وعنده حصه بيت وارثه من ابو هل يجوز يسوي وكاله اويكتب حصته للشخص الي يطلبه فلوس وممكن تفيدونا ومشكورين,"من الأفضل أن يتم إجراء صفقة بيع المنزل بشكل رسمي وعادل، وبموجب اتفاقية معلومات الشراء والبيع، وتوزيع الأموال المستحقة بين المورِّثين وفقًا لحصصهم في الميراث."
لو سمحتو ازاي أحصل على صورة من بطاقة جوزي عشان النفقة لإنو متهرب من النفقة انا واولادي وماليش حد وحسبي الله ونعم الوكيل,"يُرجى ملاحظة أن هذه الإجراءات قد تختلف من بلد إلى آخر، لذا يجب الاتصال بالسفارة الخاصة ببلدك للحصول على المزيد من المعلومات."
ما كانت المحكمة قد انتهت الي توافر نيه القتل لدى الطاعن من استعماله أداة قاتله بطبيعتها وتعدد ضرباته وإصابة المجنى عليه في مقتل فإن ذلك لا يعدو سوا مجرد تعمد الطاعن ارتكاب الفعل المادى وهو ما لايكفي بذاته لثبوت نيه القتل مادام الحكم لم يكشف عن النيه الخاصه بالطاعن ولا يغني عن ذلك مقاله الحكم من أن الطاعن قد قصد قتل المجنى عليه إذا أن قصد إزهاق الروح إنما هو القصد الخاص المطلوب استظهاره بايراد الأدلة والمظاهر الخارجية التي رأت المحكمة انها تدل عليه كما أن ما قاله الحكم لا يؤدي إلي توافر نيه القتل ومن ثم فإن الحكم يكون معيبا بالصور مما يوجب النقض والاعاده.الطعن رقم (10558 لسنه 82 قضائية جلسه 10/6/2013)أمسيه قانونيه مع المستشار القانونيالاستاذ /إبراهيم عبيد المحامى بالجناياتوشهرته الجسور 01026226170,"بناء على ذلك، سأقوم برفع قضية بتهمة الإصابة بدون قصد وليس قتل مع سعي جدي لإظهار وجود نوايا أخرى كما ذكرتم."
هل يتم التعويض عن وفاة ناتجة عن حادث سير مع العلم أنو السيارة يلي أدت لوفاة الشخص مجهوولة !؟؟,"وتعتمد قيمة التعويض على عدة عوامل، بما في ذلك مدة التوقف عن العمل، والتكاليف الطبية والدفن، والأضرار النفسية والمعنوية المرتبطة بالوفاة."
سلام عليكم واحد سوال الله يخليكم انا درت واحد مخالفة بي سيارة موقفتش في قف شدني شرطي قيد ليا مخالفة خلصتها في دار ضريبة فاش رجعت عندهم باش نخد رخصة سياقة ملقيتهاش قالو ليا سير واحد تلاتة اين ورجع فاش رجعت والو ملقوهاش دبا الورقة باش كنسوق بقا فيها يومين وتسلي وانا خلصت الوجبات ديالي والبيرمي ديالي جلااوه دبا شنو يمكن ندير لي عندو شي معلومة يفيدنا الله يرحم والدين,"وإذا كانت هناك مشكلة في فقدان رخصة القيادة الخاصة بك، فيجب عليك الاتصال بالجهة المعنية لتقديم بلاغ بفقدان الرخصة الخاصة بك والحصول على رخصة بديلة."
السلام عليكم أنا اخ غير شقيق ولي سبع اخوات من آلام اختي الكبيره توفي الله وعملت وصيه علي مبلغ ٢٠٠ الف جنيه فى البنك وخلتنا أنا الواصي علي الوصيه وروحت البنك لقيت اخوي عامل اعلان وراث واسم مش موجود في الاعلان مع العلم أن الوصيه بي تسع أفراد مكتوبين فهل يجوز صرف الفلوس بإعلان الوارث وتجهل الوصيه الا متوثق في المحكمه,"بشكل عام، إذا كان الأشخاص المذكورين في الوصية والورثة هم نفسهم، فمن الضروري توثيق الوصية في المحكمة، ويتم صرف الميراث للمورثين بناءً على تعليمات الوصية."
سلام عليكم حبيت استفسر على قضية وجريمة خيانة أمانة كيفاه يكون حكم وعواقب,"عليكم السلام، يمكن تعريف جريمة الخيانة على أنها إخلال بالأمانة الموكلة إلى الفاعل، وإذا ثبتت تلك الجريمة فإنها تعتبر من الجرائم الخطيرة والتي تستوجب عقوبات قاسية."
لدي ارض محفضة واش ممكن ناخد مبلغ مالي من البنك,قد يتطلب الأمر الموافقة على شروط وضوابط محددة من قبل البنك وتوثيق دفتر عقاري يثبت ملكيتك للأرض المحفوظة.
سلام عليكم ممكن حل قانوني في ومشكل تاعي انا ارملة عندي زوج اولاد معنديش سكن حطيت ملف سكن من 8سنوات كل مرا نفس مشكل قولولي زوجك مستفيد علما انا زوجة الثانة وزوجة الاول هي لي مستغلة السكن مع اطفلها ممكن تقولولي في هدي حالة واش ندير وين روح نشكي علي حق بناتي في سكن اجتماعي وشكرا,"عليك بتقديم شكوى رسمية إلى الجهات المعنية بتوفير الإسكان الاجتماعي في بلدية السكن، حيث يجب توفير سكن للأسرة التي لا يملكون سكنًا على الإطلاق."
 التنزيلهو قائم على اساس الحاجة. فهل الأحفاد الذين لهم  ملكية عقارية يستحقون التنزيل !!!!!علما ان الملكية لم يرثوها بل تم شراؤها بأموالهم الخاصة,وبالتالي فإن التنزيل يتطلب دراسة قانونية كاملة حول الحالة التي سيتم فيها رفع الدعوى المدنية أو التنفيذية للحصول على تنفيذ الحكم.
السلام عليكم قضيه بقالها 3 سنوات شخص فاتح شركه مع واحد وهي شركة استثمارية بأرباح غير ثابته وجمعو من المستثمرين اكتر من 500 مليون جنيه والفاتحين الشركه واحد منهم زور اوراق أنه ملوش علاقه بالشركه وسايب الشركه من فتره و زور اوراق كمان أن شريكه معاه كل الأموال وهرب برا مصر وبعد تعب كبير من المحامين ال شغالين في القضيه أثبتوا أنه الاوراق غير صحيحة وتم أخذ عليه أحكام ولكن هو خارج مصر والحل هو أن القضية تصبح قضية رأي عام ولكن المحامين بقالهم اكتر من سنه مش عارفين يوصلو لحاجه تانيه عشان هو شكله راشي ناس من المسؤولين في البلد وخلال ال 3 سنوات الشخص التاني هو المسجون والتانى هربان خارج مصر ما هو الحل,كما يمكن الاتصال بالجهات الرسمية في مصر الخاصة بمكافحة الفساد وتقديم شكوى رسمية بالأدلة اللازمة لإجراء التحقيقات اللازمة ورفع القضية إلى النيابة العامة المختصة.
خصومة مع احد الاشخاص و اتفق على الحل الودي و لكنه يؤخر و يماطل لسبب غير معلوم .. رجاء كيفية الاستعلام بنفسي بالمحكمة عن وجود أي دعاوي ضدي من عدمه لأني سأضطر لإجراء ذلك الاستعلام اسبوعيا للطمأنينة و يتعذر تحمل تكاليف محامي لإجراء ذلك الأمر .. جزاكم الله خيرا,"2- استخدام خدمات محرك البحث القضائي في مواقع الإنترنت المختلفة، مثل "" نظام أبشر "" و"" قضايا ""، للبحث عن أي قضايا مرفوعة ضدك."
سؤال لو سمحتم لو عقد ايجار تم انتهاء مدته منذ ٦ شهورولم يتم تحرير عقد إيجار جديد حتى الان للمستأجر الاصح رفع طرد للغصب مع طلب ريع عن المدة. والا رفع طرد لانتهاء عقد الإيجار؟وشكرا لحضرتكم,"وبالنسبة للريع، فإنه يجب على المستأجر دفع ريع عن فترة استخدام العقار بعد انتهاء مدة العقد وحتى الخروج من العقار، واستحقاق الريع يكون وفقًا للاتفاق المبرم بين الطرفين."
ساعدوني المفروض هيحصل تنازل أو تصالح في قضية إتلافبس بافتراض سوء النية للمتهم أنه بيراضيني علشان أتنازل ويرجع لنفس الضرر تاني ايه افضل حل قانوني اوقف إجراءات القضية وفي نفس الوقت اقدر ارفع ضده قضية تانية أو أنه ياخد حكم مع وقف التنفيذالقضية حاليا في الاستئناف ياريت تساعدوني,"إذا كان المتهم مستعداً للتصالح، يمكنكم الاتفاق على شروط التصالح والتنازل عن القضية، ولكن يجب التأكد من أن هذا الاتفاق يحمي حقوقك ومصالحك بشكل كامل."
"السلام عليكم ياجماعه انا ساكن ف القاهره ونقلت لشقه ثانيه والشقه الاولى اتصلت لصاحبها وقلت له ان انا نقلت وهاجي ب شهر اعطيك مفتاح الغرفه واخذ تاميني لاني كنت مريض وماقدرت اروح اخذ تاميني اجي اليوم اتصل واكلمه اني اريد اخذ تاميني ونفس ما اتفقت مع حضرتك يهددني انه بيخلي حد يخرب الشقه ويجيب شهود ومش هيجيب التامين الان كيف اتصرف هل اقدر اروح مباحث النت واخذ تهديده وهل اساسا اقدر اسحب المكالمه الي فيها هذا التهديد صراحه ماقدرت أنام ممكن حد يكلمني اواي اقنع مباحث النت او الاتصالات تخرج المكالمه. ،لاني خايفه من تهديدهم والحل هو اني اسحب المكالمه كدليلدلوني كيف اتصرف","ثانياً، إذا لم يعمل ذلك، فيمكنك تسجيل المكالمة التي حصلت أثناء قيامك بطلب الحصول على تأمينك، والاحتفاظ بها كدليل في حال تطلب منك تسليم الأمر إلى السلطات المعنية."
عندي حكم نهاءي ونفدت على صندوق ضمان حوادث السير لمن لحد الساعة مكيحترمش تنفيذ الاحكام ...ما ااحل,يمكن لك تقديم شكوى رسمية إلى المجلس الوطني للشكاوى الذي يعد هيئة مستقلة ومختصة بالنظر في شكاوى المواطنين المتعلقة بالإدارة الحكومية.
سلام عليكم من فضلك اذا عندك معلومة جاوبني انا عندي 16 سنة ضربني شخص اكبر مني بعام مرتين و احدث لي كدمات في عيني و صورتها ولم اشتكي به و بعدها ب 20 يوم التقيت بنفس شخص و ضربته ب حديدة صغيرة حادة مما أدت لظهور خبش  صغير في وجهه و انا كدمة في عيني قدمت كلامي لي الشرطة و وقدمت ورقة طبيب شرعي للشرطة مع كلامي فماذا سيحدث مع علم من ذلك يوم لم يتواصلوا معي مركز الشرطة انا عندي 16 عام و هو 17 الحادثة مرى عليها شهر بتقريب,عليك الانتظار حتى يتم التحقيق من قبل الشرطة والنيابة العامة لتحديد ما إذا كان المتهم قد ارتكب جريمة وما هو نوع الجريمة التي ارتكبها.
لو سمحتم قضية مقابل حق انتفاع نزل خبير و وضع تقريرة من 6 شهور و قدر القيمة الشهرية لمقابل حق الانتفاع السؤال اي يتكتب فالطلبات الختامية للمحكمة بحيث تحكم بالقيمة الشهرية + الفوائد السنوية في حال التاخر عن السداد لحين بيع العقار محل النزاعيعني مش عاوز القاضي يحكم القيمة فقط لتاريخ ايداع التقرير لأ عاوز لحد ما الي معه االحيازة يبيع العقار محل النزاع لانه ورث,"أن يحكم القضاء بأن المتأخر في دفع المبلغ المستحق عليه يتحمل فوائد سنوية بنسبة محددة، وذلك حتى يتم بيع العقار المحل النزاع."
لو سمحت انا مأجر شقه لمده ٥ سنوات و خلص منهم ٣ سنوات و عاوز اسيب الشقه بس في العقد بند انه في حاله ترك المكان لازم ادفع باقي العقد . و مش عاوز اسأل صاحب العقار لان بيني و بينه خلاف فممكن يستغل الظروف و مايرضاش نخرج بالتراضي. هل في حل ؟,"3- البحث عن محامي متخصص للمساعدة في حل الخلاف بينك وصاحب العقار، ويمكن للمحامي البحث عن طرق للتسوية والحصول على أفضل اتفاق عادل بشأن دفع باقي العقد."
السلام عليكم من اكتر من سنتين زميل فالكليه بعت رسايل من باب الحك  ليا ولزميلتي ومحدش فينا رد عليه دخل شتم زميلتي بوالدها المتوفي فاحنا ردينا الغلط وعملنالو بلوكات وخلص الموضوع بالنسبه لينا من وقتها وهو كل يومين يعمل اكونت فيك جديد ومهما نغمل بلوكات بيعمل جديد وهو نفس الشخص انا متاكده ويبعت الفاظ قذره جدا وسب بالام والاب وكلام فالاعراض بسبب غلطه غبيه منو احنا عرفنا الشخص ده يبقى مين فالحقيقه واكتشفنا انو بيراقبنا فالجامعه كمان والموضوع وسع منو عالاخر مع العلم احنا من وقت المره اللي ردينا فيها دي  ما رديناش علليه وهو مستمر فالقرف اللي بيعملو ايه الاجراءات القانونيه اللي اقدر اخدها ضدو تعلمو الادب لان الموضوع بقى خطر  جدا,"ثانيًا، من الممكن تقديم دعوى قضائية ضد هذا الشخص بسبب التحرش الإلكتروني والإساءة إليكم، ويمكن الحصول على محامٍ لتقديم الدعوى وتمثيلكم في المحكمة."
سلام  كيف لحال انا كان وقع ليت حادثة سير اصبت على أثرها بثلاث كسور الحمد الله قيدت لمحضر ديالي ودفعت ملف المحامي عطاني واحد ورقة درت ليا مصادقة حيتاش كنت انا مريض مشا غير الأب مشكيل انني وكلت محامي على لقضية حتى عرفت بلي متافقتش معااه على اتعابوا بغيت نعرف شحال الحد الأقصى لي غاذي ياخد محامي واش 20%ولا 25% مع علم سولت وقالوا ليا بلي خاصوا ياخد غير 20 مع لعلم دازت غير 9 جلسات وتحكمت ومازال متحكم حكم نهائي وشكرا,يرجى ملاحظة أن نسبة الاتفاق على الأتعاب بينك وبين محاميك يخضع للاتفاق بين الطرفين ولا يوجد حد أقصى لنسبة الاتفاق عليها.
السؤال اللى دايما بيتكرر من كل المتقاضين انا اتحكم لى او انا اتحكم عليا بمبلغ كذا أعمل استئناف ولا الوضع مش هيتغير ؟؟وردا على هذا التساؤل أحب اقولهم مادام لسه قدامك وسيله اعمل اللى عليك واستخدمها والنتيجه على الله ولا يعلم الغيب إلا الله علشان متبقاش ومتبقيش قصرتى فى حق نفسك وربنا يوفق الجميع,"أولاً، يجب علينا التأكد من صحة المطالبة وحقوق العميل، وفي حال توفرت الأوراق الداعمة للمطالبة وثبوتها، يمكننا الشروع في رفع القضية بشكل صحيح."
لو سمحت في حكم غرامه لمحضر بيئة محرر من المجلس المحلي وحكمت بغرامة مالية فقط والمصاريف وفي الاستئناف تم تأييد حكم الغرامة مع ايقاف عقوبة الحبس مع أن حكم أول درجة مكنش فيه حبسممكن توضيح,"حسب ما فهمته من سؤالك، ظهر أن المحكمة الأولى حكمت بغرامة مالية وليس حبس، في حين تأيدت هذه الحكم من المحكمة المستأنفة ولكن بقرار ايقاف عقوبة الحبس."
السلامعليكم دلوقتي كان عندي قضية تبديد منقولات زوجيةوسلمتها بمركز الشرطة اتبقي الذهب مكتوب 80جرام = 20 الف جواتحدد جلسه للدهب ودفعت ال 20 اللي مكتوبين في القايمه قدام القاضي وطلقتي استلمتهم القاضي قال لها استلمتي حقك خلاصقالت له اه قالها طيب امضي عند سكرتير الجلسه ومضت قدام القاضي ...  الحكم طلع انقضاء بالتصالح المحامي قالي عاوزين نعمل نقض لانها ممكن ترفع بفرق سعر الذهب وتطالبك بيهبعد 60 يوم من الحكم لانك مختش براءةالسؤال هل الكلام ده صحيحولا كدا خلاص مدام استلمت تمنه ,"وأحد هذه الأسباب هو وجود خطأ في تطبيق القانون أو قضائي، أو وضع الحكم على أساس أدلة مزورة أو محرفة."
"‎هام جداليه كتابة اي عقد قانوني يكون من متخصص‎اذا كان تحرير العقد عمل يقوم به الكثير من غير المتخصصين وفي بعض الاحوال يكتب الشخص عقد لنفسه ظنا منهم ان الأمر سهل وبالفعل مجرد تحرير عقد امر سهل ولكن الامر لا يقف علي التحرير فحسب ولكن الأمر الحقيقي هو ان العقود‎وصياغتها تعني وضع قانون يحكم العلاقة بين المتعاقدين‎(كعقد الشركة وعقد البيع) ويظهر هذا المفهوم جليا في انه اذا صارت العلاقة بين المتعاقدين دون حدوث مشاكل فبالتالي لارجوع لبنود العقد ولا الوقوف عندها ومن ثم لايظهر اي عوار بالعقد ، الا انه اذا حدث خلاف ووصل الامر الي القضاء فيصبح العقد وبنوده هما ابطال القضية وهنا اذا لم يكن محرر العقد متخصص ويتوقع كافة المشاكل المستقبلية ويضع لها الحل الذي تسمح به القوانين فستظهر العيوب كالقصور في البنود او عمومية النصوص وما الي ذلك وعليه فإن صياغة العقود هي حرفة و مهنة وليست مجرد كتابة فحسب","كما يجب على المحامي التأكد من ان العقد يحتوي على جميع المعلومات التي يحتاجها العميل، من حيث المواعيد والشروط والأحكام والمسؤوليات المترتبة على كل طرف من المتعاقدين."
"دعوي صحة التوقيع  تعتبر دعاوى صحة التوقيع من الدعاوى ""التحفظية""، حيث إن المدعى يكون غرضه منها إثبات صحة توقيع المدعى عليه على الورقة المطلوبة . حجية الحكم بصحة التوقيع دعوى صحة التوقيع دعوى تحفظية الغرض منها إثبات أن التوقيع الموضوع على المحرر هو توقيع صحيح صادر من صاحبه، وهذا بغض النظر عن موضوع المحرر وعن نوع العلاقة الثابتة به أو صحة التصرف الثابت فيه من عدمه، فهى دعوى تحفظية، وليست دعوى موضوعية .هل دعوى صحة التوقيع لعقود البيع فقط؟دعوى صحة التوقيع تدخل فى المعاملات التجارية والسوقية والشرائية بشكل مباشر سواء عند شراء شقة أو قطعة أرض أو محل تجارى، فلابد لك من اللجوء لمحامى لرفع دعوى صحة التوقيع على عقد البيع لضمان كافة حقوقك القانونية .الشريف  للمحاماه والاستشارات القانونيةالمكتب ٣٤ شارع ام السلطان الورديان الاسكندريه0105026144401277739291فون او واتساب",سأضيف المكتب إلى قائمة اتصالاتي للاتصال به في حالة الحاجة إلى خدمات قانونية.
السلام عليكم ورحمة الله لو سمحت أفاده بالله عليك انا رحت ارخص عربيتي وطلبو كشف علي البطاقه اتفجئت اني عليا قضيه من 4 سنين سرقه وانا والله ما اعرف اي شي عنها وفي كمان موجودين في نفس القضيه 4 ودول من محافظات بعيد عني معرفش اصلا هما مين ولقيت عليا حكم ٣ شهور غيابي ومرور تحفظ عليا ورحلني علي القسم والمحامي جيه عمل معارضه وخرجت في نفس اليوم وانا ربنا يعلم اني لا أعلم من أين هذا وانا راجل موظف في البنك الأهلي وخايف على سمعتي وخايف انفصل من العمل ومش عارف مصيري اي دي بقت نقطه سوده في حياتي وانا والله العظيم عمري ما دخلت قسم نهائي افاده بالله عليكم افيدوني #تعديل أنا عرففت القاضيه إللي عليا لكن والله ما  أعرف شيء عنها طلع موبايل مسروق وأنا إسمي جيه عن طريق شركة اتصالات أضافوا إسمي لأن كان في خط  بتاعي من 2016 ولما وقع مني مفكرتش اطلع شريحه سعتها وطنشت واكتشفت اني القضيه معموله للخط دا وكذا شخص كمان وأنا معرفش حاجه عن الخط  من زمان وحضرت جلستين واتأجلو لحين حضور مفرات القضيه فبالله عليكم افيدوني أنا مصيري أي في حاجه ما ليش يد فيها أنا معترف إني مستهتر  لما طنشت الخط الزمان افيدوني,يمكن على المحامي أن يدرس حالتك ويقدم توصيات لك حول ما هي الخطوات التالية التي يجب اتخاذها في القضية.
